in dim: 2
num labels: 5
num samples: 25000
starting
batch #0:	err: 0.014209814335887838
batch #1:	err: 0.0015213550563936693
batch #2:	err: 0.00030183542964441133
batch #3:	err: 0.07448478244103962
batch #4:	err: 0.03138817522017151
batch #5:	err: 0.10443405938210945
batch #6:	err: 0.027819840150032943
batch #7:	err: 0.10716757972540741
batch #8:	err: 0.020512897477479548
batch #9:	err: 0.17946015143891067
batch #10:	err: 0.14584331775794465
batch #11:	err: 0.17373402263574053
batch #12:	err: 0.003093335466034014
batch #13:	err: 0.07080243037926469
batch #14:	err: 0.13314520101564734
batch #15:	err: 0.027271969376468842
batch #16:	err: 0.06873674160285984
batch #17:	err: 0.055064001750448205
batch #18:	err: 0.055366720120462336
batch #19:	err: 0.020016342492493212
batch #20:	err: 0.03310411749533639
batch #21:	err: 0.08041506668404758
batch #22:	err: 0.04148701332848451
batch #23:	err: 0.05694847385416138
batch #24:	err: 0.0004008910108057461
batch #25:	err: 0.019982668154814098
batch #26:	err: 0.09982433354495615
batch #27:	err: 0.12437339817686752
batch #28:	err: 0.03402454746798042
batch #29:	err: 0.0006938112245464441
batch #30:	err: 0.06861208919801655
batch #31:	err: 0.033117433691255097
batch #32:	err: 0.09168019498141074
batch #33:	err: 0.09537818987520931
batch #34:	err: 0.056548179868573474
batch #35:	err: 0.00022481132799070754
batch #36:	err: 0.04750309268933085
batch #37:	err: 0.03312118478884219
batch #38:	err: 0.10102761633121521
batch #39:	err: 0.10566954696238862
batch #40:	err: 0.05096490682362984
batch #41:	err: 0.019986489891492945
batch #42:	err: 0.020028503394688695
batch #43:	err: 0.050895133895771404
batch #44:	err: 0.10643860686906254
batch #45:	err: 0.004592609522596904
batch #46:	err: 0.032934872900232504
batch #47:	err: 0.11432568542675693
batch #48:	err: 0.000982485312860483
batch #49:	err: 0.0332351389861936
batch #50:	err: 0.15041545139498436
batch #51:	err: 0.12769788804806154
batch #52:	err: 0.08180393608458081
batch #53:	err: 0.06707185357594496
batch #54:	err: 0.09007004416803749
batch #55:	err: 0.061401499056941686
batch #56:	err: 0.09079442626521131
batch #57:	err: 0.12539028273223565
batch #58:	err: 0.05496821505173581
batch #59:	err: 0.01436581106920047
batch #60:	err: 0.02004882377401477
batch #61:	err: 0.11718837884070267
batch #62:	err: 0.0008441943917834023
batch #63:	err: 0.0001326060721177358
batch #64:	err: 0.12098247949586333
batch #65:	err: 0.0003163032124940257
batch #66:	err: 0.00010414871688450264
batch #67:	err: 0.07394948899005732
batch #68:	err: 0.00013994717337271727
batch #69:	err: 0.03380087130181721
batch #70:	err: 0.07620553340263946
batch #71:	err: 0.11255306767585817
batch #72:	err: 0.07567337648521011
batch #73:	err: 0.10088806570333737
batch #74:	err: 0.06367183699382711
batch #75:	err: 0.04056128295354854
batch #76:	err: 0.021398891063884998
batch #77:	err: 0.08601392761001572
batch #78:	err: 0.03734222979225662
batch #79:	err: 0.054803161615136604
batch #80:	err: 0.0743572954210187
batch #81:	err: 0.040311937118124454
batch #82:	err: 0.0868786022239206
batch #83:	err: 0.1017998858580667
batch #84:	err: 0.08051225418337848
batch #85:	err: 0.10973979457146225
batch #86:	err: 0.0014834973898558953
batch #87:	err: 0.035469628241699726
batch #88:	err: 0.055435287243439504
batch #89:	err: 0.014143961040316502
batch #90:	err: 0.03370457913520362
batch #91:	err: 0.08222066967130408
batch #92:	err: 0.058376715059525214
batch #93:	err: 0.09350194371957216
batch #94:	err: 0.0399857518212465
batch #95:	err: 0.03383517410639875
batch #96:	err: 0.06064169805312749
batch #97:	err: 8.1664705033277e-05
batch #98:	err: 0.01993623180886694
batch #99:	err: 0.049471671130636746
batch #100:	err: 0.03975034862995945
batch #101:	err: 0.9267434118087143
batch #102:	err: 0.5336029491094655
batch #103:	err: 0.411306813246215
batch #104:	err: 0.3641219288988513
batch #105:	err: 0.2499830043373418
batch #106:	err: 0.15401760168452958
batch #107:	err: 0.12907585753661294
batch #108:	err: 0.12456845942503877
batch #109:	err: 0.049137548654349265
batch #110:	err: 0.09794674599461253
batch #111:	err: 0.0974194134023283
batch #112:	err: 0.0016456800823241133
batch #113:	err: 0.11977853306751518
batch #114:	err: 0.001242302358135296
batch #115:	err: 0.07227248986821194
batch #116:	err: 0.08317190359611626
batch #117:	err: 0.1115134500781001
batch #118:	err: 0.0750422282347797
batch #119:	err: 0.013616728433610129
batch #120:	err: 0.0632646817600056
batch #121:	err: 0.05637469801347885
batch #122:	err: 0.02007600758881158
batch #123:	err: 0.15876649576861218
batch #124:	err: 0.11936747982726886
batch #125:	err: 0.052556339681333795
batch #126:	err: 0.0793350731399633
batch #127:	err: 0.06612914291341512
batch #128:	err: 0.06560316903249185
batch #129:	err: 0.058970342730046026
batch #130:	err: 0.04187734002823379
batch #131:	err: 0.06630465762005519
batch #132:	err: 0.11232275215247034
batch #133:	err: 0.10086585946779963
batch #134:	err: 0.031739799261039287
batch #135:	err: 0.0008409843588660392
batch #136:	err: 5.594604721585462e-05
batch #137:	err: 0.08288850580793573
batch #138:	err: 0.1868974479528183
batch #139:	err: 0.0007828365716133981
batch #140:	err: 0.033213181809750275
batch #141:	err: 0.06649448000234588
batch #142:	err: 0.06934816221974373
batch #143:	err: 0.023953193611694422
batch #144:	err: 0.03437162227461455
batch #145:	err: 0.034241889704826174
batch #146:	err: 0.061310706575472954
batch #147:	err: 0.030027245001708624
batch #148:	err: 0.03177481978594015
batch #149:	err: 0.1300456112530311
batch #150:	err: 0.060600597033703865
batch #151:	err: 0.49929935167294837
batch #152:	err: 0.20167650762408018
batch #153:	err: 0.17937399097549303
batch #154:	err: 0.16429944817100167
batch #155:	err: 0.122194471191835
batch #156:	err: 0.08817942087811098
batch #157:	err: 0.13168533874543042
batch #158:	err: 0.09115105551270813
batch #159:	err: 0.07911464532058202
batch #160:	err: 0.05899290105284056
batch #161:	err: 0.07283102235680866
batch #162:	err: 0.051742920389020106
batch #163:	err: 0.055408666585434904
batch #164:	err: 0.08972649958896986
batch #165:	err: 0.08647954370581733
batch #166:	err: 0.04711883436523295
batch #167:	err: 0.05111589080076756
batch #168:	err: 0.0695792704804793
batch #169:	err: 0.050200287037783745
batch #170:	err: 0.08425106888853208
batch #171:	err: 0.0456345319752513
batch #172:	err: 0.03276438234248022
batch #173:	err: 0.08707707143862707
batch #174:	err: 0.08620053395325898
batch #175:	err: 0.03021475823582327
batch #176:	err: 0.021546741979809242
batch #177:	err: 0.060328904420596255
batch #178:	err: 0.022365869629829945
batch #179:	err: 0.04147109980293212
batch #180:	err: 0.021235096001359633
batch #181:	err: 0.04484335000771964
batch #182:	err: 0.03191402601253882
batch #183:	err: 0.0002641442174714327
batch #184:	err: 0.040124896416717286
batch #185:	err: 0.04099556134684402
batch #186:	err: 0.0416459374886004
batch #187:	err: 0.00040473116631700875
batch #188:	err: 0.04118761488994793
batch #189:	err: 0.0379568789027767
batch #190:	err: 0.05630879780973212
batch #191:	err: 0.010276190793602157
batch #192:	err: 0.05258548697172713
batch #193:	err: 0.059781085268382196
batch #194:	err: 0.07036349370287324
batch #195:	err: 0.00220412764765691
